size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
all,o2m_legacy,0.0625,rank_changed_set_exact_same_rate,29164,0.1449741683823819,0.13492111399468926,0.15526664512099014
all,o2m_legacy,0.0625,rank_minus_set_exact_change_rate,29164,0.00027169200093851026,-0.013075142282965444,0.011767811543963853
all,o2m_legacy,0.0625,mean_jaccard,29164,0.9281373603059401,0.9244338208663291,0.9318420103113779
all,o2m_legacy,0.0625,mean_retention,29164,0.9890285632063404,0.9868424958103512,0.9909288541748646
all,o2m_legacy,0.0625,mean_jaccard_among_rank_changed,5935,0.8940821330311716,0.8846697501005929,0.9022255891819216
all,o2m_legacy,0.0625,mean_retention_among_rank_changed,5935,0.9830960889214853,0.9796806665157147,0.9863815396183755
all,o2m_pre_topk,0.0625,rank_changed_rate,29164,0.20351086133983123,0.19010817514242254,0.2177219017470729
all,o2m_pre_topk,0.0625,set_exact_changed_rate,29164,0.20323916933889263,0.18797759082293236,0.2185797117022591
all,o2m_pre_topk,0.0625,rank_changed_set_exact_same_rate,29164,0.1449741683823819,0.13492111399468926,0.15526664512099014
all,o2m_pre_topk,0.0625,rank_minus_set_exact_change_rate,29164,0.00027169200093851026,-0.013075142282965444,0.011767811543963853
all,o2m_pre_topk,0.0625,mean_jaccard,29164,0.9281373603059401,0.9244338208663291,0.9318420103113779
all,o2m_pre_topk,0.0625,mean_retention,29164,0.9890285632063404,0.9868424958103512,0.9909288541748646
